iter	Passed	Remaining
0	155	155065
1	158	79040
2	162	53845
3	165	41178
4	169	33756
5	173	28709
6	177	25123
7	180	22433
8	184	20353
9	188	18643
10	191	17254
11	195	16087
12	198	15099
13	202	14247
14	205	13500
15	208	12849
16	212	12273
17	215	11769
18	218	11295
19	221	10876
20	225	10492
21	228	10158
22	231	9841
23	234	9551
24	237	9281
25	241	9034
26	244	8803
27	247	8594
28	250	8391
29	253	8201
30	256	8025
31	260	7867
32	263	7722
33	266	7581
34	270	7445
35	273	7320
36	276	7202
37	279	7084
38	282	6972
39	286	6864
40	289	6767
41	293	6697
42	300	6684
43	304	6623
44	309	6559
45	312	6488
46	316	6411
47	319	6341
48	323	6271
49	326	6200
50	329	6134
51	333	6071
52	336	6015
53	340	5964
54	344	5918
55	348	5871
56	352	5833
57	356	5788
58	360	5742
59	363	5693
60	366	5644
61	370	5598
62	373	5554
63	376	5508
64	380	5467
65	383	5430
66	387	5392
67	390	5355
68	394	5316
69	397	5279
70	400	5241
71	403	5204
72	407	5169
73	410	5134
74	413	5098
75	416	5064
76	419	5030
77	422	4997
78	425	4966
79	429	4934
80	432	4903
81	435	4872
82	438	4842
83	441	4813
84	445	4790
85	448	4763
86	451	4739
87	454	4711
88	457	4687
89	460	4660
90	463	4634
91	466	4608
92	470	4584
93	473	4560
94	476	4536
95	479	4513
96	482	4491
97	485	4469
98	488	4448
99	492	4428
100	496	4420
101	499	4401
102	503	4387
103	507	4368
104	510	4348
105	513	4328
106	516	4306
107	519	4287
108	522	4268
109	525	4249
110	528	4229
111	530	4209
112	533	4191
113	536	4172
114	539	4154
115	542	4136
116	546	4121
117	549	4105
118	552	4088
119	555	4071
120	558	4054
121	561	4038
122	564	4021
123	567	4006
124	570	3990
125	573	3975
126	576	3960
127	579	3946
128	582	3932
129	585	3918
130	588	3904
131	591	3890
132	594	3876
133	597	3863
134	600	3849
135	603	3835
136	606	3821
137	610	3810
138	613	3798
139	616	3785
140	619	3772
141	622	3759
142	625	3749
143	628	3736
144	631	3724
145	634	3712
146	637	3700
147	642	3697
148	645	3686
149	648	3676
150	651	3664
151	654	3653
152	657	3640
153	660	3629
154	663	3617
155	666	3605
156	669	3594
157	672	3583
158	675	3573
159	678	3562
160	681	3552
161	684	3542
162	687	3531
163	690	3521
164	693	3511
165	697	3502
166	700	3492
167	703	3483
168	706	3474
169	709	3464
